Name,SD1,SD2,C-1,C-2,C-N-1,C-N-2,N-1,N-2,CS1,CS2,HS1,HS2,OSMO1,OSMO2,OXI1,OXI2,PH1,PH2,UV1,UV2
pgaC,3909.5,5749.855,2751.295,5806.9,6113.205,6258.65,4806.745,5380.4,3780.285,6394.015,6336.47,5936.66,5736.365,5517.595,5648.2,6424.345,5440.515,7935.5,4587.6,6007.93
pgaD,5210.62,8168.72,3639.44,7387.7,6049.59,6463.04,5761.09,6276.95,5096.4,4638.53,6335.26,6273.4,5568.11,6857.39,6315.55,6344.89,5993.65,8660.51,6770.81,5739.05
pgi,4183.78,3694.24,6317.65,3996.38,3711.66,3715.18,3593.96,4323.21,4822.77,4417.75,4479.4,3912.08,3320.19,4087.19,3465.74,3724.07,6222.42,5360.85,3946.7,3945.14
pgk,3877.16,3095.26,2188.15,3077.275,3558.805,3077.145,2526.925,3256.91,3695.605,5339.995,2401.105,2666.62,3707.38,7718.305,3439.49,2858.295,8634.65,3214.475,3939.455,4153.715
pgl,4759.22,5677.855,6302.89,5930.56,6312.845,5282.915,5319.625,4780.935,5101.845,4913.425,5058.83,5472.87,6242.06,5756.07,6139.85,5456.915,4938.445,4181.04,4778.445,5724.84
pgm,4549.9,2711.57,3976.12,2950.84,2271.49,1880.06,3001.53,3122.71,3634.09,1911.48,1968.71,1868.88,1854.5,2489.01,2237.44,1477.98,3298.67,4075.18,3645.25,2615.13
pgpA,6255.835,8782.505,4260.95,7502.415,7610.175,8495.675,6846.575,4950.195,6412.035,9888.445,9468.245,8673.6,9769.08,7189.1,8838.67,8225.03,8494.23,7880.15,5915.525,8246.085
pgpB,3892.695,3875.94,2893.295,4508.19,4653.77,4717.44,4527.005,3923.745,3656.225,3663.32,3122.62,3801.36,3938.42,3818.345,4082.375,3406.315,4454.635,5011.55,4635.285,4096.4
pgsA,5776.425,7674.8,6571.94,4909.115,7679.89,7867.99,6227.805,6211.54,5745.62,8054.165,8663.53,8575.885,8795.955,5003.88,6611.47,8021.745,6232.02,11340.14,6356.82,7465.65
pheA,3305.085,4832.88,4136.095,5176.24,5704.4,5324.62,4103.02,4907.995,3552.78,5383.705,5543.365,5653.39,5303.195,5579.225,5926.535,6420.295,4869.89,4892.775,3737.02,4487.535
pheL,864,393.61,6523.49,697.61,315.71,612.26,535.62,819.87,719.6,728.34,444.63,70.42,732.87,689.15,514.68,414.92,480.91,3068.01,1276,499.36
pheM,2529.65,972,2786.74,1719.93,1303.57,959.14,1566.89,2194.43,2257.56,543.28,583.35,768.25,619.36,1490.04,999.68,265.13,2005.99,832,3058.58,1266.73
pheP,3602.29,5288.94,4184.76,4366.54,4477.71,4769.72,5672.62,4687.5,4048.98,4624.48,5712.34,5446.85,5156.92,4291.31,4985.78,4611.87,3441.17,5044.54,3723.92,4926.09
pheS,3570.24,3399.54,4318.16,3537.13,4602.5,4494.85,3533.06,3568.92,3249.08,3409.12,3432.98,3672.62,4045.71,4081.44,3678.17,3720.51,7934.69,3364.76,3560.64,4394.62
pheT,5289.605,4896.875,3684.305,5436.745,4585.235,4183.775,5427.42,5484.075,4974.8,4567.775,4388.34,4177.115,4148.6,6143.66,4485.495,4420.15,8751.57,4940.69,4579.915,4312.315
pheU,3757.81,5241.98,2839.375,2464.605,4309.085,3877.175,4636.235,3710.73,4815.1,5178.245,4910.025,4396.22,5073.335,3318.57,4437.97,4741.945,4824.415,8194.665,5483.96,4826.48
pheV,3087.855,5607.17,4284.92,3935.645,3471.775,5052.08,4463.79,3232.765,2939.695,5631.105,1970.94,1635.485,5146.15,4089.16,4863.745,5314.87,4906.24,1101.51,3813.005,4865.59
phnC,5428.39,3036.64,5169.51,4188.56,2932.4,3042.36,3766.27,3667.39,5810.03,4861.16,4837.48,5393.58,3530.6,3614.32,3404.55,3870.46,3720.29,2414.45,5908.14,3944.2
phnD,6526.99,5709.59,2618.68,5518.62,4626.24,4349.44,4952.6,5280.17,6963.66,5483.98,5334.6,5075.77,4793.08,4644.05,5664.37,5491.32,4825.72,5278.38,5572.06,4803.69
phnE,4672.98,4253.55,7377.9,3038.61,3837.53,4824.17,5175.13,3941.37,5770.51,4005.52,4946.7,4209.29,5151.91,2700.91,4182.87,4839.27,3890.81,4414.25,4695.69,3346.57
phnF,3867.27,2637.43,2319.375,2923.7,3084.795,2335.17,3206.565,3410.07,3594.415,2992.16,3270.035,3629.915,2434.51,2456.435,2565.4,3336.675,2652.405,4703.66,4334.555,2847.575
phnG,1965.48,364.38,6975.42,722.9,1212.68,1170.41,494.37,1602.55,2063.35,1271.63,1690.66,1317.98,793.96,974.95,941.85,827.08,590.07,4079.79,2235.99,1206.44
phnH,7123.655,2739.175,4997.43,3471.33,3928.3,3400.71,4396.66,3936.385,6880.9,3518.115,4017.085,4264.725,3214.955,2945.27,3322.585,4212.985,3069.22,4283.04,5022.055,3500.935
phnI,5885.47,5600.58,5680.92,4742.41,4669.395,3724.305,5937.455,4941.94,6944.825,4498.6,4968.74,5437.81,4413.48,4133.095,4193.635,5299.805,4066.875,5724.06,5397.495,4244.79
phnJ,8743.71,6773.14,3186.16,6411.52,6453.755,6932.61,6922.765,7553.135,8785.44,6500.285,7687.885,8408.265,6809.805,6449.84,6864.865,7439.95,6268.935,4703.23,8568.53,7208.68
phnK,4897.46,3960.37,6024.92,3890.2,4148.69,3871.8,4716.01,5534.4,6036.15,4061.89,4554.68,5749.2,4641.34,4255.1,4782.72,4936.11,3120.14,3426.95,4826.69,3714.09
phnL,4686.195,2644.38,4208.245,3301.98,2934.24,2778.095,3452.665,3598.52,4530.295,3024.775,3748.61,3968.235,3281.71,3164.96,3178.48,3520.905,2794.665,3037.155,5365.96,2690.15
phnM,1950.88,1532.35,2139.4,1350.385,1325.915,1401.725,1721.48,2283.79,2388.995,1692.645,2055.06,2508.255,1317.665,1682.095,1556.18,1104.055,1613.375,3708.2,2276.61,1159.045
